customer_id,first_name,last_name,gender,email,phone,city,state,signup_date
1,Jayant,Jhaveri,Female,user1@gmail.com,8632374600,Kanpur,Tamil Nadu,2023-10-26
2,Shamik,Chokshi,Male,user2@gmail.com,3703566770,Pune,Tamil Nadu,2023-06-08
3,Lakshay,Bhagat,Female,user3@gmail.com,1939703409,Lucknow,Karnataka,2022-09-01
4,Alia,Bhattacharyya,Female,user4@gmail.com,4396430920,Hyderabad,Tamil Nadu,2022-08-09
5,Mamooty,Raju,Male,user5@gmail.com,5471625430,Bangalore,Telangana,2021-10-26
6,Hrishita,Batra,Female,user6@gmail.com,3360229621,Mumbai,Karnataka,2022-10-24
7,Ivan,Bhatti,Male,user7@gmail.com,5316164355,Lucknow,Delhi,2023-06-27
8,Raghav,Borah,Female,user8@gmail.com,7902133720,Chennai,Delhi,2021-12-26
9,Nitya,Aggarwal,Female,user9@gmail.com,7838106480,Pune,UP,2023-04-09
10,Armaan,Gill,Male,user10@gmail.com,9058140089,Hyderabad,Karnataka,2021-10-20
11,Aayush,Bora,Female,user11@gmail.com,9412589594,Pune,UP,2023-07-03
12,Samaira,Kadakia,Female,user12@gmail.com,9964040013,Bangalore,Delhi,2024-09-24
13,Rania,Vyas,Female,user13@gmail.com,6965600701,Mumbai,Telangana,2023-12-05
14,Manjari,Sibal,Male,user14@gmail.com,1966987327,Mumbai,Telangana,2023-07-23
15,Piya,Dhar,Female,user15@gmail.com,6812118465,Lucknow,Tamil Nadu,2023-07-10
16,Chirag,Deo,Male,user16@gmail.com,9461352684,Mumbai,Tamil Nadu,2024-03-16
17,Heer,Kurian,Male,user17@gmail.com,6697013975,Pune,Telangana,2025-12-15
18,Taran,Vaidya,Male,user18@gmail.com,0212683631,Bangalore,Tamil Nadu,2022-06-28
19,Lagan,Kant,Female,user19@gmail.com,2956814915,Chennai,UP,2025-05-12
20,Himmat,Lad,Female,user20@gmail.com,7990501700,Pune,Tamil Nadu,2024-01-29
21,Bhamini,Varkey,Female,user21@gmail.com,2416929870,Mumbai,Delhi,2024-10-15
22,Ivana,Comar,Female,user22@gmail.com,0496403427,Pune,Karnataka,2024-08-23
23,Nirvaan,Loyal,Male,user23@gmail.com,1249791548,Lucknow,Karnataka,2021-06-14
24,Tiya,Lala,Male,user24@gmail.com,1458555772,Delhi,Tamil Nadu,2022-05-02
25,Tejas,Dhar,Male,user25@gmail.com,3623140350,Pune,UP,2021-08-22
26,Ishita,Varma,Male,user26@gmail.com,8108571404,Chennai,Maharashtra,2024-10-31
27,Seher,Joshi,Male,user27@gmail.com,2237606126,Kanpur,UP,2021-06-18
28,Kabir,Cheema,Female,user28@gmail.com,6206350209,Bangalore,UP,2025-02-09
29,Divyansh,Mammen,Male,user29@gmail.com,6728084890,Lucknow,UP,2022-11-25
30,Anaya,Banerjee,Male,user30@gmail.com,0296204310,Delhi,Karnataka,2026-01-11
31,Divit,Ahluwalia,Male,user31@gmail.com,2751733479,Chennai,Delhi,2025-11-10
32,Heer,Ramanathan,Male,user32@gmail.com,4766328350,Pune,UP,2022-08-24
33,Rasha,Balan,Female,user33@gmail.com,5266425060,Delhi,Tamil Nadu,2022-02-26
34,Drishya,Kar,Male,user34@gmail.com,9293945493,Chennai,Tamil Nadu,2025-05-05
35,Arhaan,Sane,Male,user35@gmail.com,8855509346,Bangalore,Maharashtra,2022-01-17
36,Aarna,Yohannan,Female,user36@gmail.com,6123106084,Pune,Delhi,2023-09-30
37,Aaina,Goswami,Female,user37@gmail.com,6948658371,Bangalore,Telangana,2023-12-02
38,Parinaaz,Kannan,Female,user38@gmail.com,7854519866,Chennai,UP,2024-02-24
39,Anya,Garg,Male,user39@gmail.com,1190132920,Chennai,UP,2026-01-16
40,Manjari,Sami,Female,user40@gmail.com,4889712046,Lucknow,Karnataka,2022-10-17
41,Alia,Viswanathan,Male,user41@gmail.com,4106416751,Chennai,Karnataka,2026-01-10
42,Siya,Kashyap,Male,user42@gmail.com,1060126457,Delhi,Maharashtra,2026-04-21
43,Riaan,Bumb,Male,user43@gmail.com,5105803951,Kanpur,UP,2021-07-06
